ID,MP ID,MP name,party,city,row_number,invoice_reference,invoice_issue_date,provider,provider_U,product,purpose,purpose_CAT,payment_date,net_amount,VAT_amount,gross_amount,claimed_amount,links
24,791,Palásti János,FÜGGETLEN JELÖLT,Szigetvár,4.0,037037,2014-04-01,Kódex Ny,KÓDEX NY,Plakát,Utánrendelés,K342,2014-04-02,21008.0,5672.0,26680.0,26680.0,https://drive.google.com/file/d/0B1ve-jHPt_yfbFZxZXpVU00zaWM/view?usp=drivesdk
25,791,Palásti János,FÜGGETLEN JELÖLT,Szigetvár,1.0,00015,2014-03-29,MOL Nyrt.,MOL,Üzemanyag,Üzemanyag költség,K312D,2013-03-29,12956.0,5400.0,18356.0,18356.0,https://drive.google.com/file/d/0B1ve-jHPt_yfbFZxZXpVU00zaWM/view?usp=drivesdk
26,791,Palásti János,FÜGGETLEN JELÖLT,Szigetvár,2.0,00037,2014-03-30,MOL Nyrt.,MOL,Üzemanyag,Üzemanyag költség,K312D,2014-03-31,17574.0,7200.0,24774.0,24774.0,https://drive.google.com/file/d/0B1ve-jHPt_yfbFZxZXpVU00zaWM/view?usp=drivesdk
27,791,Palásti János,FÜGGETLEN JELÖLT,Szigetvár,3.0,00024,2014-04-01,MOL Nyrt.,MOL,Üzemanyag,Üzemanyag költség,K312D,2014-04-01,18658.0,7644.0,26302.0,26302.0,https://drive.google.com/file/d/0B1ve-jHPt_yfbFZxZXpVU00zaWM/view?usp=drivesdk
28,791,Palásti János,FÜGGETLEN JELÖLT,Szigetvár,4.0,00047,2014-04-02,MOL Nyrt.,MOL,Üzemanyag,Üzemanyag költség,K312D,2014-04-02,17655.0,7208.0,24863.0,24863.0,https://drive.google.com/file/d/0B1ve-jHPt_yfbFZxZXpVU00zaWM/view?usp=drivesdk
29,791,Palásti János,FÜGGETLEN JELÖLT,Szigetvár,5.0,00085,2014-04-03,MOL Nyrt.,MOL,Üzemanyag,Üzemanyag költség,K312D,2014-04-03,20054.0,8244.0,28298.0,28298.0,https://drive.google.com/file/d/0B1ve-jHPt_yfbFZxZXpVU00zaWM/view?usp=drivesdk
30,791,Palásti János,FÜGGETLEN JELÖLT,Szigetvár,6.0,00049,2014-04-04,MOL Nyrt.,MOL,Üzemanyag,Üzemanyag költség,K312D,2014-04-04,17939.0,7325.0,25264.0,25264.0,https://drive.google.com/file/d/0B1ve-jHPt_yfbFZxZXpVU00zaWM/view?usp=drivesdk
31,791,Palásti János,FÜGGETLEN JELÖLT,Szigetvár,7.0,00023,2014-04-05,MOL Nyrt.,MOL,Üzemanyag,Üzemanyag költség,K312D,2014-04-05,30125.0,12300.0,42425.0,42425.0,https://drive.google.com/file/d/0B1ve-jHPt_yfbFZxZXpVU00zaWM/view?usp=drivesdk
32,678,Palotai Gábor,ÖP,Kecskemét,1.0,SM-2014/28/CS,2014-04-07,WERTZ informatikai és kereskedelmi Kft,WERTZ INFORMATIKA ÉS KEK KFT,"plakát, szórólap, szállítás",Kampányidőszak alatt az OEVK területén szórólapok szétosztása a választók között,K342,2014-03-31,767401.0,207198.0,974599.0,974599.0,https://drive.google.com/file/d/0B1ve-jHPt_yfellQTWpBNGJ6S1E/view?usp=drivesdk
33,678,Palotai Gábor,ÖP,Kecskemét,2.0,000202/2014,2014-03-28,Blue Eye Dekor Kft,BLUE EYE DEKOR KFT,Dekorációs anyag (óriásplakát),Kampányidőszak alatt az OEVK területén óriásplakát kihelyezése Lajosmizsén,K342,2014-03-28,20000.0,5400.0,25400.0,25400.0,https://drive.google.com/file/d/0B1ve-jHPt_yfellQTWpBNGJ6S1E/view?usp=drivesdk
